#	timestep	msd
713	20.01844193
714	20.04103963
715	20.06340150
716	20.08555610
717	20.10753757
718	20.12938711
719	20.15115632
720	20.17290478
721	20.19470040
722	20.21661380
723	20.23871721
724	20.26107834
725	20.28375230
726	20.30677365
727	20.33015390
728	20.35388397
729	20.37793630
730	20.40226888
731	20.42682931
732	20.45155629
733	20.47638462
734	20.50124809
735	20.52608047
736	20.55081532
737	20.57538877
738	20.59974207
739	20.62382605
740	20.64760037
741	20.67103662
742	20.69411737
743	20.71683828
744	20.73921062
745	20.76126261
746	20.78303634
747	20.80458700
748	20.82597283
749	20.84724786
750	20.86846112
751	20.88966060
752	20.91090195
753	20.93224929
754	20.95377391
755	20.97554766
756	20.99763243
757	21.02007540
758	21.04290593
759	21.06613386
760	21.08975082
761	21.11373583
762	21.13806343
763	21.16270534
764	21.18763516
765	21.21283207
766	21.23828091
767	21.26397152
768	21.28990319
769	21.31608735
770	21.34254634
771	21.36930671
772	21.39638977
773	21.42381426
774	21.45159965
775	21.47977221
776	21.50836858
777	21.53743169
778	21.56700530
779	21.59712569
780	21.62782076
781	21.65910688
782	21.69099322
783	21.72348192
784	21.75656861
785	21.79023796
786	21.82446135
787	21.85920067
788	21.89441657
789	21.93007347
790	21.96613722
791	22.00257005
792	22.03932429
793	22.07633788
794	22.11354655
795	22.15089662
796	22.18835497
797	22.22590255
798	22.26352821
799	22.30121912
800	22.33895505
801	22.37670853
802	22.41444719
803	22.45213652
804	22.48974462
805	22.52724771
806	22.56463359
807	22.60190557
808	22.63907363
809	22.67614802
810	22.71314020
811	22.75005968
812	22.78691756
813	22.82372580
814	22.86049909
815	22.89725865
816	22.93403538
817	22.97086004
818	23.00775862
819	23.04475034
820	23.08184873
821	23.11906569
822	23.15641472
823	23.19390461
824	23.23153457
825	23.26929216
826	23.30714982
827	23.34506475
828	23.38298691
829	23.42086057
830	23.45863209
831	23.49625190
832	23.53368305
833	23.57090410
834	23.60790477
835	23.64467667
836	23.68119465
