#	timestep	msd
526	11.39080066
527	11.40597335
528	11.42104203
529	11.43601616
530	11.45090916
531	11.46573779
532	11.48052190
533	11.49528241
534	11.51003898
535	11.52480697
536	11.53959722
537	11.55441537
538	11.56926280
539	11.58413926
540	11.59904558
541	11.61398326
542	11.62894835
543	11.64392895
544	11.65890804
545	11.67386791
546	11.68879296
547	11.70367064
548	11.71849193
549	11.73325264
550	11.74795331
551	11.76259910
552	11.77719899
553	11.79176461
554	11.80630833
555	11.82084229
556	11.83537919
557	11.84993181
558	11.86451391
559	11.87913940
560	11.89382138
561	11.90856862
562	11.92338425
563	11.93826378
564	11.95319471
565	11.96815822
566	11.98313065
567	11.99808786
568	12.01300883
569	12.02787792
570	12.04268590
571	12.05742700
572	12.07209883
573	12.08670066
574	12.10123309
575	12.11569881
576	12.13010336
577	12.14445654
578	12.15877140
579	12.17306104
580	12.18733634
581	12.20160428
582	12.21586738
583	12.23012425
584	12.24437118
585	12.25860319
586	12.27281399
587	12.28699554
588	12.30113905
589	12.31523504
590	12.32927362
591	12.34324626
592	12.35714728
593	12.37097692
594	12.38474194
595	12.39845584
596	12.41213807
597	12.42581262
598	12.43950592
599	12.45324460
600	12.46705071
601	12.48093568
602	12.49489646
603	12.50891477
604	12.52296204
605	12.53700393
606	12.55100559
607	12.56493486
608	12.57876368
609	12.59247045
610	12.60604152
611	12.61947322
612	12.63277099
613	12.64594551
614	12.65900739
615	12.67196252
616	12.68481103
617	12.69754831
618	12.71016430
619	12.72264595
620	12.73498002
621	12.74715631
622	12.75917171
623	12.77103089
624	12.78274566
625	12.79433032
626	12.80580055
627	12.81717015
628	12.82845002
629	12.83964836
630	12.85077087
631	12.86182350
632	12.87281232
633	12.88374402
634	12.89462601
635	12.90546480
636	12.91626467
637	12.92702956
638	12.93776165
639	12.94846015
640	12.95911955
641	12.96973048
642	12.98028097
643	12.99075942
644	13.00115584
645	13.01146221
646	13.02167170
647	13.03177981
648	13.04178450
649	13.05168586
650	13.06148461
651	13.07118440
652	13.08079022
653	13.09030774
654	13.09974141
655	13.10909332
656	13.11836064
657	13.12753458
658	13.13660323
659	13.14555263
660	13.15437064
661	13.16304784
662	13.17157854
663	13.17996038
664	13.18819833
665	13.19630543
666	13.20430342
667	13.21222136
668	13.22009525
669	13.22796538
670	13.23587116
671	13.24384583
672	13.25191328
673	13.26008533
674	13.26836522
675	13.27674867
676	13.28522588
677	13.29378218
678	13.30240313
679	13.31107623
680	13.31979280
681	13.32854822
682	13.33734000
683	13.34616755
684	13.35502926
685	13.36392160
686	13.37283952
687	13.38177861
688	13.39073391
689	13.39969950
690	13.40866993
691	13.41764551
692	13.42663233
693	13.43564445
694	13.44470239
695	13.45382769
696	13.46303692
697	13.47233816
698	13.48172960
699	13.49120279
700	13.50074426
701	13.51033791
702	13.51996681
703	13.52961701
704	13.53927904
705	13.54894833
706	13.55862259
707	13.56830170
708	13.57799215
709	13.58770935
710	13.59747410
711	13.60731447
712	13.61726169
713	13.62734224
714	13.63757343
715	13.64796494
716	13.65852164
717	13.66924661
718	13.68014577
719	13.69122707
720	13.70249810
721	13.71396627
722	13.72563768
723	13.73751602
724	13.74960133
725	13.76189007
726	13.77437859
727	13.78706630
728	13.79995961
729	13.81307226
730	13.82642381
731	13.84003592
732	13.85392827
733	13.86811605
734	13.88260741
735	13.89740520
736	13.91250583
737	13.92790095
738	13.94357703
739	13.95951685
740	13.97570203
741	13.99211725
742	14.00875262
743	14.02560589
744	14.04267910
745	14.05996997
746	14.07746749
747	14.09515786
748	14.11302671
749	14.13106053
750	14.14924544
751	14.16756847
752	14.18601793
753	14.20458501
754	14.22326506
755	14.24205647
756	14.26096417
757	14.28000273
758	14.29919618
759	14.31857477
760	14.33817087
761	14.35801834
762	14.37814602
763	14.39856883
764	14.41928309
765	14.44026852
766	14.46149384
767	14.48292142
768	14.50451444
769	14.52624263
770	14.54808116
771	14.57000832
772	14.59200395
773	14.61404833
774	14.63612596
775	14.65822691
776	14.68034929
777	14.70249147
778	14.72465159
779	14.74682660
780	14.76900955
781	14.79119412
782	14.81337155
783	14.83553177
784	14.85766506
785	14.87976611
786	14.90183666
787	14.92388920
788	14.94594386
789	14.96802546
790	14.99015662
791	15.01235420
792	15.03462617
793	15.05697723
794	15.07940844
795	15.10191836
796	15.12450669
797	15.14717259
798	15.16992087
799	15.19276387
800	15.21572271
801	15.23882677
802	15.26211389
803	15.28562598
804	15.30940072
805	15.33346236
806	15.35781732
807	15.38245584
808	15.40734946
809	15.43246070
810	15.45775178
811	15.48318822
812	15.50874091
813	15.53438577
814	15.56010517
815	15.58588924
816	15.61173404
817	15.63763672
818	15.66358771
819	15.68956978
820	15.71556554
821	15.74156212
822	15.76755295
823	15.79353823
824	15.81952096
825	15.84550703
826	15.87150555
827	15.89753237
828	15.92360958
829	15.94976244
830	15.97601754
831	16.00239929
832	16.02893331
833	16.05564744
834	16.08257366
835	16.10974246
836	16.13717932
837	16.16489575
838	16.19289050
839	16.22114915
840	16.24964618
841	16.27835091
842	16.30723122
843	16.33625776
844	16.36540462
845	16.39464561
846	16.42395495
847	16.45330382
848	16.48266073
849	16.51199254
850	16.54126182
851	16.57043092
852	16.59946082
853	16.62831823
854	16.65698477
855	16.68545875
856	16.71376142
857	16.74193369
858	16.77003548
859	16.79814448
860	16.82634600
861	16.85472148
862	16.88333291
863	16.91222298
864	16.94141310
865	16.97090939
866	17.00071020
867	17.03081467
868	17.06123148
869	17.09198779
870	17.12312216
871	17.15468052
872	17.18671016
873	17.21924893
874	17.25232265
875	17.28594210
876	17.32010716
877	17.35480203
878	17.39000010
879	17.42566271
880	17.46173692
881	17.49816863
882	17.53490422
883	17.57189610
884	17.60911254
885	17.64653017
886	17.68412701
887	17.72187410
888	17.75972935
889	17.79764340
890	17.83556863
891	17.87345700
892	17.91126383
893	17.94894279
894	17.98645430
895	18.02377199
896	18.06088887
897	18.09782001
898	18.13460197
899	18.17129062
900	18.20795475
901	18.24466785
902	18.28151226
903	18.31856668
904	18.35591083
905	18.39362203
906	18.43178078
907	18.47047672
908	18.50979946
909	18.54983465
910	18.59064222
911	18.63225760
912	18.67468133
913	18.71788306
914	18.76181346
915	18.80641580
916	18.85162299
917	18.89736417
918	18.94357221
919	18.99019014
920	19.03718199
921	19.08453886
922	19.13226637
923	19.18038016
924	19.22888874
925	19.27778395
926	19.32703489
927	19.37656794
928	19.42627163
929	19.47599589
930	19.52555939
931	19.57476897
932	19.62343449
933	19.67138636
934	19.71848636
935	19.76462321
936	19.80970259
937	19.85364952
938	19.89640169
939	19.93793572
940	19.97827552
941	20.01750041
942	20.05572525
943	20.09307018
944	20.12964809
945	20.16554328
946	20.20081729
947	20.23549854
948	20.26957117
949	20.30297397
950	20.33561287
951	20.36737088
952	20.39807941
953	20.42753368
954	20.45550851
955	20.48179966
956	20.50627149
957	20.52888006
958	20.54966564
959	20.56874567
960	20.58623808
961	20.60221207
962	20.61670053
963	20.62970931
964	20.64125169
965	20.65135598
966	20.66006961
967	20.66743349
968	20.67348974
969	20.67826105
970	20.68177041
971	20.68408921
972	20.68535029
973	20.68576657
974	20.68562730
975	20.68527803
976	20.68509471
977	20.68545829
978	20.68670286
979	20.68910836
980	20.69289246
981	20.69816739
982	20.70495447
983	20.71322333
984	20.72283435
985	20.73351369
986	20.74483323
987	20.75620271
988	20.76689590
989	20.77613010
990	20.78328780
991	20.78808512
992	20.79056048
993	20.79097888
994	20.78958057
995	20.78649301
996	20.78171217
997	20.77511153
998	20.76650167
999	20.75589683
